scenario,civil_use,service_load_kN,head_stiffness_kN_per_m,allowable_settlement_mm,thermal_amplitude_C,serviceability_basis,head_restraint_ratio,initial_mechanical_settlement_mm,peak_abs_thermal_force_kN,peak_abs_pore_pressure_kPa,max_TM_settlement_mm,max_THM_settlement_mm,final_THM_settlement_mm,max_THM_serviceability_ratio,max_error_if_pore_pressure_ignored_percent,case_id,thermal_factor,load_factor,head_stiffness_factor,vertical_stiffness_factor,cv_factor,mv_factor,lambda_factor
Bridge abutment retrofit matrix 115,bridge abutment or approach foundation,5066.471402854082,300965.10446644825,15.0,6.325578924518627,stricter screening limit for bridge approach compatibility and differential-settlement control,0.28528922030135123,15.801458330978646,272.13004905737967,52.7886912770725,16.70564969741567,18.27787118879474,15.824853819312448,1.2185247459196493,10.423003689605844,115,0.7906973655648284,1.2063027149652576,0.5472092808480877,0.8906476465532055,0.6256931406853806,1.0312460863397628,0.8297539564523518
Bridge abutment retrofit matrix 116,bridge abutment or approach foundation,5069.643519441316,284562.1471131522,15.0,5.715401869450646,stricter screening limit for bridge approach compatibility and differential-settlement control,0.2740009493133841,14.388341823110986,236.15095112570796,72.48341934721844,15.21821660976631,19.693419903630463,14.409790806280768,1.3128946602420308,23.37897001383605,116,0.7144252336813307,1.2070579808193609,0.5173857220239131,0.978732871562707,1.8689232892723475,0.9387714694961576,1.2334094044328836
Bridge abutment retrofit matrix 117,bridge abutment or approach foundation,4727.925238196975,318608.77081188536,15.0,10.003692748819102,stricter screening limit for bridge approach compatibility and differential-settlement control,0.2970459089555316,10.875322784695653,448.0998298041787,108.41505616733802,12.281749320482229,19.41239413529058,10.911771960782069,1.2941596090193719,38.58420448818069,117,1.2504615936023877,1.1256964852849942,0.5792886742034279,1.2076078955688483,1.0894710172995148,1.384763777963715,1.0675015728597128
Bridge abutment retrofit matrix 118,bridge abutment or approach foundation,3983.996519441649,452377.1205733099,15.0,5.612925154393474,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3749936681680167,11.706219200853285,317.3978969745307,40.50285281203397,12.407841547651646,13.133589275384445,11.724405263075992,0.8755726183589629,7.374553431726041,118,0.7016156442991842,0.9485705998670593,0.8225038555878361,0.9453656051171806,0.43802694329933,0.8822939686652547,0.7203818605915755
Bridge abutment retrofit matrix 119,bridge abutment or approach foundation,3558.951162079673,825724.49453415,15.0,7.273115553259686,stricter screening limit for bridge approach compatibility and differential-settlement control,0.522707460899788,8.685926271852379,573.2842965513694,84.5557308699401,9.380206628492155,15.362474680407477,8.703951572781381,1.0241649786938318,40.11883648038986,119,0.9091394441574607,0.847369324304684,1.5013172627893636,1.1381601847413574,2.833345797275243,0.8338754966170204,1.1173202573566436
Bridge abutment retrofit matrix 120,bridge abutment or approach foundation,3723.6395123949223,366172.49885008,15.0,7.494515065893194,stricter screening limit for bridge approach compatibility and differential-settlement control,0.32689456838072634,10.410019477097725,369.43845600055215,81.47455800566782,11.418938653608054,13.723109996930704,10.436172077500746,0.9148739997953803,18.853554455964076,120,0.9368143832366492,0.8865808362845053,0.6657681797274182,0.9936045857302862,0.9594406300749565,0.6849351416975988,1.0734878170495548
Bridge abutment retrofit matrix 121,bridge abutment or approach foundation,5403.865559554668,580367.1862003492,15.0,9.934170312248053,stricter screening limit for bridge approach compatibility and differential-settlement control,0.43494393310306567,15.607608119153095,651.5619850389817,103.78737215826904,16.730280111180665,20.82702304113026,15.636787894369542,1.3884682027420174,21.495160735819038,121,1.2417712890310066,1.2866346570368257,1.0552130658188168,0.9617577242350798,0.7695716291152811,1.07462005570563,1.0356050047677865
Bridge abutment retrofit matrix 122,bridge abutment or approach foundation,3934.501958625496,724484.5541059065,15.0,6.572453454973881,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4900242322195341,9.561644358301852,485.66402536423544,72.89178050853114,10.232002370231585,14.09445976257758,9.57906208257653,0.9396306508385054,28.741557322295257,122,0.8215566818717351,0.9367861806251181,1.317244643828921,1.1430222352710542,0.989012748811417,1.1791982332607265,1.0945107524392328
Bridge abutment retrofit matrix 123,bridge abutment or approach foundation,4354.2411908929,596333.6822182679,15.0,10.258624010540618,stricter screening limit for bridge approach compatibility and differential-settlement control,0.44162530693161306,9.794249471229572,683.178081058259,80.0375269972252,10.939880015720943,13.172733534944053,9.824094205882338,0.8781822356629368,20.154701383792425,123,1.2823280013175773,1.0367240930697381,1.0842430585786689,1.2349199859239974,0.6361112633722881,0.9310290558446888,0.7755638769955444
Bridge abutment retrofit matrix 124,bridge abutment or approach foundation,5027.3565361681085,763927.135610955,15.0,8.121179274078647,stricter screening limit for bridge approach compatibility and differential-settlement control,0.503275853924403,12.114311549484711,616.3338933499471,76.23908193789849,12.921108251184581,19.918753937913888,12.135248649069394,1.3279169291942592,35.897300313357206,124,1.015147409259831,1.1969896514685974,1.3889584283835545,1.1527588018592472,2.05990251144188,1.3082669982220478,0.9105530271884705
Bridge abutment retrofit matrix 125,bridge abutment or approach foundation,3265.6787974725084,705064.0111053903,15.0,8.011509304226081,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4832362319479853,9.37136233469055,583.800805264591,54.67161974448685,10.199373403287451,10.865730492264191,9.392983507494094,0.7243820328176127,8.413059618216302,125,1.0014386630282601,0.7775425708267877,1.281934565646164,0.9679841274943867,0.3381064420539948,0.7360440468512508,0.6828015096427884
Bridge abutment retrofit matrix 126,bridge abutment or approach foundation,4026.2872837771934,891576.1821124976,15.0,6.386267315240029,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5418076756389885,10.347047026143876,521.7748063099987,59.96048740653733,10.932274420928815,13.093851456076615,10.362288895621093,0.8729234304051077,18.57978080482021,126,0.7982834144050036,0.9586398294707603,1.6210476038409047,1.0809007937788047,0.49066300801067536,1.387532906649645,0.9362256752744694
Bridge abutment retrofit matrix 127,bridge abutment or approach foundation,3797.570839773036,919179.1173327658,15.0,6.332264704153295,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5493666914004128,13.003814770111077,524.5806228403115,70.30237115136094,13.574520319169368,14.900423429436923,13.018685911974215,0.9933615619624615,10.472051737187785,127,0.7915330880191619,0.9041835332792942,1.671234758786847,0.8112087164225523,0.5305661083943235,0.714332185703801,1.106106870717611
Bridge abutment retrofit matrix 128,bridge abutment or approach foundation,3066.4480648902395,720387.9128033337,15.0,6.776376506244462,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4886072286305265,7.461482156781433,499.2847196899796,93.81641703138295,8.154559748473737,15.168230386372544,7.479496290160408,1.011215359091503,46.96572093680856,128,0.8470470632805578,0.7301066821167237,1.3097962050969705,1.1415843544730853,1.6787364759861974,1.1898698886136612,1.3502092840919255
